Pathway ID,New Pathway ID
hsa00270,Pathway 1
hsa03013,Pathway 2
hsa03015,Pathway 3
hsa03018,Pathway 4
hsa03020,Pathway 5
hsa03022,Pathway 6
hsa03030,Pathway 7
hsa03040,Pathway 8
hsa03320,Pathway 9
hsa03410,Pathway 10
hsa03420,Pathway 11
hsa03430,Pathway 12
hsa03440,Pathway 13
hsa03450,Pathway 14
hsa03460,Pathway 15
hsa04010,Pathway 16
hsa04012,Pathway 17
hsa04014,Pathway 18
hsa04015,Pathway 19
hsa04022,Pathway 20
hsa04024,Pathway 21
hsa04062,Pathway 22
hsa04064,Pathway 23
hsa04066,Pathway 24
hsa04068,Pathway 25
hsa04071,Pathway 26
hsa04080,Pathway 27
hsa04110,Pathway 28
hsa04114,Pathway 29
hsa04115,Pathway 30
hsa04120,Pathway 31
hsa04137,Pathway 32
hsa04140,Pathway 33
hsa04141,Pathway 34
hsa04144,Pathway 35
hsa04150,Pathway 36
hsa04151,Pathway 37
hsa04152,Pathway 38
hsa04210,Pathway 39
hsa04211,Pathway 40
hsa04213,Pathway 41
hsa04216,Pathway 42
hsa04217,Pathway 43
hsa04218,Pathway 44
hsa04261,Pathway 45
hsa04310,Pathway 46
hsa04330,Pathway 47
hsa04340,Pathway 48
hsa04350,Pathway 49
hsa04360,Pathway 50
hsa04370,Pathway 51
hsa04371,Pathway 52
hsa04380,Pathway 53
hsa04390,Pathway 54
hsa04392,Pathway 55
hsa04510,Pathway 56
hsa04520,Pathway 57
hsa04530,Pathway 58
hsa04550,Pathway 59
hsa04612,Pathway 60
hsa04613,Pathway 61
hsa04620,Pathway 62
hsa04621,Pathway 63
hsa04622,Pathway 64
hsa04623,Pathway 65
hsa04625,Pathway 66
hsa04630,Pathway 67
hsa04650,Pathway 68
hsa04657,Pathway 69
hsa04658,Pathway 70
hsa04659,Pathway 71
hsa04660,Pathway 72
hsa04662,Pathway 73
hsa04666,Pathway 74
hsa04668,Pathway 75
hsa04670,Pathway 76
hsa04710,Pathway 77
hsa04713,Pathway 78
hsa04714,Pathway 79
hsa04720,Pathway 80
hsa04722,Pathway 81
hsa04725,Pathway 82
hsa04728,Pathway 83
hsa04810,Pathway 84
hsa04910,Pathway 85
hsa04911,Pathway 86
hsa04912,Pathway 87
hsa04914,Pathway 88
hsa04915,Pathway 89
hsa04916,Pathway 90
hsa04917,Pathway 91
hsa04918,Pathway 92
hsa04919,Pathway 93
hsa04920,Pathway 94
hsa04921,Pathway 95
hsa04922,Pathway 96
hsa04924,Pathway 97
hsa04925,Pathway 98
hsa04926,Pathway 99
hsa04927,Pathway 100
hsa04928,Pathway 101
hsa04930,Pathway 102
hsa04931,Pathway 103
hsa04932,Pathway 104
hsa04933,Pathway 105
hsa04934,Pathway 106
hsa04935,Pathway 107
hsa04936,Pathway 108
hsa04950,Pathway 109
hsa04960,Pathway 110
hsa04961,Pathway 111
hsa04962,Pathway 112
hsa04976,Pathway 113
hsa05010,Pathway 114
hsa05012,Pathway 115
hsa05014,Pathway 116
hsa05016,Pathway 117
hsa05017,Pathway 118
hsa05020,Pathway 119
hsa05022,Pathway 120
hsa05030,Pathway 121
hsa05031,Pathway 122
hsa05034,Pathway 123
hsa05100,Pathway 124
hsa05120,Pathway 125
hsa05130,Pathway 126
hsa05131,Pathway 127
hsa05132,Pathway 128
hsa05133,Pathway 129
hsa05134,Pathway 130
hsa05135,Pathway 131
hsa05140,Pathway 132
hsa05142,Pathway 133
hsa05145,Pathway 134
hsa05146,Pathway 135
hsa05152,Pathway 136
hsa05160,Pathway 137
hsa05161,Pathway 138
hsa05162,Pathway 139
hsa05163,Pathway 140
hsa05164,Pathway 141
hsa05165,Pathway 142
hsa05166,Pathway 143
hsa05167,Pathway 144
hsa05168,Pathway 145
hsa05169,Pathway 146
hsa05170,Pathway 147
hsa05171,Pathway 148
hsa05200,Pathway 149
hsa05202,Pathway 150
hsa05203,Pathway 151
hsa05205,Pathway 152
hsa05206,Pathway 153
hsa05207,Pathway 154
hsa05208,Pathway 155
hsa05210,Pathway 156
hsa05211,Pathway 157
hsa05212,Pathway 158
hsa05213,Pathway 159
hsa05214,Pathway 160
hsa05215,Pathway 161
hsa05216,Pathway 162
hsa05217,Pathway 163
hsa05218,Pathway 164
hsa05219,Pathway 165
hsa05220,Pathway 166
hsa05221,Pathway 167
hsa05222,Pathway 168
hsa05223,Pathway 169
hsa05224,Pathway 170
hsa05225,Pathway 171
hsa05226,Pathway 172
hsa05230,Pathway 173
hsa05231,Pathway 174
hsa05235,Pathway 175
hsa05321,Pathway 176
hsa05322,Pathway 177
hsa05323,Pathway 178
hsa05340,Pathway 179
hsa05412,Pathway 180
hsa05415,Pathway 181
hsa05416,Pathway 182
hsa05417,Pathway 183
hsa05418,Pathway 184
